CODGP_PROD; CODGP; GP_TIPO_PROD; Nombre Producto; Lugar; Año; Idioma; Páginas; Volumen; Editorial; Ambito; DOI; Descripción; Instituciones; Tipo Vincula Institu; Autores
COL00380661;COL0038066;8;Imaging Effect of Soil Use and Coverage on the Spectral Response of an Oxisol in the VIS-NIR-MIR Region;Suiza;2017;;-;3;;;doi:10.3390/jimaging3010010;;;;JAVIER MAURICIO MARTIN LOPEZ, DEISSY GIOVANNA QUINTERO ARIAS,;
COL00380662;COL0038066;8;Effect of the height of the greenhouse on the plant - climate relationship as a development parameter in mint Mentha Spicata crops in Colombia;Colombia;2016;;6 - 13;36;;;http://dx.doi.org/10.15446/ing.investig.v36n2.52775;;;;NELSON BUSTAMANTE VALENCIA, JOHN FABIO ACUNA CAITA, DIEGO LUIS VALERA MARTINEZ,;
COL00380663;COL0038066;8;Effect of greenhouse heights on the production of aromatic herbs in Colombia. Part 1: Chives Allium schoenoprasum L.;Colombia;2016;;113 - 124;10;;;http://dx.doi.org/10.17584/rcch.2016v10i1.4654;;;;NELSON BUSTAMANTE VALENCIA, JOHN FABIO ACUNA CAITA, DIEGO LUIS VALERA MARTINEZ,;
COL00380664;COL0038066;8;Physicochemical characteristics of blackberry Rubus glaucus Benth. fruits from four production zones of Cundinamarca, Colombia;Colombia;2016;;336 - 345;34;;;10.15446/agron.colomb.v34n3.62755;;;;MANUEL FERNANDO VERGARA SOSA, JESSICA VARGAS CRUZ, JOHN FABIO ACUNA CAITA,;
COL00380665;COL0038066;8;Optimization of ventilation and its effect on the microclimate of a colombian multispan greenhouse;Colombia;2013;;282 - 288;30;;;;;;;JOHN FABIO ACUNA CAITA, RODRIGO GIL, EDWIN ANDRES VILLAGRAN MUNAR, CARLOS RICARDO BOJACA ALDANA,;
COL00380666;COL0038066;8;Uso de imagenes digitales en el estudio de la ventilación natural de invernaderos;Colombia;2006;;6 - 17;1;;;;;;;JOHN FABIO ACUNA CAITA, ARIEL AUGUSTO AMAYA AVILA, SERGIO ANDRES MARTINEZ CADENA,;
COL00380667;COL0038066;8;Natural numerical simulation of ventilation in a colombian greenhouse;Espańa;2005;;58 - 71;6;;;;;;;JOHN FABIO ACUNA CAITA, DIANA MARCELA ORTIZ PAEZ,;
COL00380668;COL0038066;8;La construcción de invernaderos o casa de cultivo;Colombia;2003;;-;;;;;;;;JOHN FABIO ACUNA CAITA,;
COL00380669;COL0038066;8;Invernaderos: más que una estructura de protección;Colombia;2002;;28 - 37;312;;;;;;;JOHN FABIO ACUNA CAITA,;
COL003806610;COL0038066;17;Amaranto Cultivo de Lechuga bajo invernadero;Colombia;2014;;;;Universidad Nacional de Colombia;;;;;;ANGEL ANDRES ALEJO OSUNA, ANDRES MAURICIO BAUTISTA TORRES, HERNAN JAVIER BARRETO RODRIGUEZ, JOHN FABIO ACUNA CAITA,;
COL003806611;COL0038066;17;Helecho: Innovación Y Desarrollo Para La Exportación;Colombia;2011;;;20;Opciones Gráficas Editores Ltda.;;;;;;JOHN FABIO ACUNA CAITA, CARLOS EDUARDO NARANJO QUICENO, CAROLINA MARIA SANCHEZ SAENZ, HOLMAN MAURICIO ALBARRACIN PINZON,;
COL003806612;COL0038066;17;Sistemas De Protección De Cultivos En Guadua;Colombia;2011;;;500;Opciones Graficas Editores;;;;;;JOHN FABIO ACUNA CAITA, DANIEL ESTEBAN BRICENO SALINAS, LUISA FERNANDA DUQUE CIFUENTES,;
COL003806613;COL0038066;17;Gulupa: Innovación Y Desarrollo Para La Exportación;Colombia;2011;;;20;Opciones Gráficas Editores Ltda.;;;;;;JOHN FABIO ACUNA CAITA, CARLOS EDUARDO NARANJO QUICENO, CAROLINA MARIA SANCHEZ SAENZ, HOLMAN MAURICIO ALBARRACIN PINZON,;
COL003806614;COL0038066;17;Sistemas De Protección De Cultivos En Guadua;Colombia;2011;;;1;Opciones Graficas Editores;;;;;;LUISA DUQUE CIFUENTES,;
COL003806615;COL0038066;17;Ruscus: Innovación Y Desarrollo Para La Exportación;Colombia;2011;;;20;Opciones Graficas Editores Ltda.;;;;;;JOHN FABIO ACUNA CAITA, CARLOS EDUARDO NARANJO QUICENO, CAROLINA MARIA SANCHEZ SAENZ, HOLMAN MAURICIO ALBARRACIN PINZON,;
COL003806616;COL0038066;17;Cebollín: Innovación Y Desarrollo Para La Exportación;Colombia;2010;;;500;Universidad Nacional de Colombia;;;;;;JOHN FABIO ACUNA CAITA, BERNARDO CASTILLO HERRN, JOSE EUGENIO HERNANDEZ HERNANDEZ, ALFONSO PARRA CORONADO, CARLOS EDUARDO NARANJO QUICENO,;
COL003806617;COL0038066;17;Romero: Innovación Y Desarrollo Para La Exportación;Colombia;2010;;;500;Universidad Nacional de Colombia;;;;;;JOHN FABIO ACUNA CAITA, BERNARDO CASTILLO HERRN, JOSE EUGENIO HERNANDEZ HERNANDEZ, ALFONSO PARRA CORONADO, CARLOS EDUARDO NARANJO QUICENO,;
COL003806618;COL0038066;17;Granadilla: Innovación Y Desarrollo Para La Exportación;Colombia;2010;;;1;Universidad Nacional de Colombia;;;;;;JOHN FABIO ACUNA CAITA, BERNARDO CASTILLO HERRN, JOSE EUGENIO HERNANDEZ HERNANDEZ, EDUARDO NARANJO, ALFONSO PARRA CORONADO,;
